DATE,MaxHourlyDryBulbTemperature,tmax_avg,tmax_clim,tmax_clim_smoothed,t85_clim,t85_clim_smoothed,t90_clim,t90_clim_smoothed,dz_x_250_21d,dz_x_250_24d,dz_x_250_28d,dz_y_250_21d,dz_y_250_24d,dz_y_250_28d,z_aus_250_21d,z_aus_250_24d,z_aus_250_28d,avg_dz_x_250_21d,avg_dz_x_250_24d,avg_dz_x_250_28d,avg_dz_y_250_21d,avg_dz_y_250_24d,avg_dz_y_250_28d,dz_x_500_21d,dz_x_500_24d,dz_x_500_28d,dz_y_500_21d,dz_y_500_24d,dz_y_500_28d,z_aus_500_21d,z_aus_500_24d,z_aus_500_28d,avg_dz_x_500_21d,avg_dz_x_500_24d,avg_dz_x_500_28d,avg_dz_y_500_21d,avg_dz_y_500_24d,avg_dz_y_500_28d,dz_x_850_21d,dz_x_850_24d,dz_x_850_28d,dz_y_850_21d,dz_y_850_24d,dz_y_850_28d,z_aus_850_21d,z_aus_850_24d,z_aus_850_28d,avg_dz_x_850_21d,avg_dz_x_850_24d,avg_dz_x_850_28d,avg_dz_y_850_21d,avg_dz_y_850_24d,avg_dz_y_850_28d,DailyPrecipitation_21d,DailyPrecipitation_24d,DailyPrecipitation_28d,DailyAverageWindSpeed_21d,DailyAverageWindSpeed_24d,DailyAverageWindSpeed_28d,RelativeHumidity_21d,RelativeHumidity_24d,RelativeHumidity_28d,MaxHourlyDryBulbTemperature_21d,MaxHourlyDryBulbTemperature_24d,MaxHourlyDryBulbTemperature_28d,MinHourlyDryBulbTemperature_21d,MinHourlyDryBulbTemperature_24d,MinHourlyDryBulbTemperature_28d,NAO_21d,NAO_24d,NAO_28d,SOI_34d,Arkansas-White-Red Region_34d,California Region_34d,Great Basin Region_34d,Great Lakes Region_34d,Lower Colorado Region_34d,Lower Mississippi Region_34d,Mid Atlantic Region_34d,Missouri Region_34d,New England Region_34d,Ohio Region_34d,Pacific Northwest Region_34d,Rio Grande Region_34d,Souris-Red-Rainy Region_34d,South Atlantic-Gulf Region_34d,Tennessee Region_34d,Texas-Gulf Region_34d,Upper Colorado Region_34d,Upper Mississippi Region_34d,anom_34d,phase_21d,phase_24d,phase_28d,amplitude_21d,amplitude_24d,amplitude_28d
6/1/2013,34.4,32.56666667,32.85357143,32.7898715,35.49809464,35.5217903,36.12093602,36.16521519,2.641739731,-1.85442321,-0.941619404,6.988477867,4.61183345,4.845897943,10500.20233,10444.115,10443.9535,-1.150706505,-0.681446686,-0.70957371,3.6550366,2.49513685,4.578301214,0.896846781,-1.153321102,-1.160525001,3.297512433,2.689533575,1.978507536,5685.138367,5662.5383,5647.570657,-0.570447128,-0.422071772,-0.612793863,1.882863033,1.332277738,2.474434951,0.53626449,-0.255796535,-0.221461819,-0.31195216,0.41909789,0.138712321,1486.005833,1492.3485,1475.589257,-0.106140157,-0.062470843,-0.550885433,0.15322833,0.326552511,0.348768974,9.166666667,0,6.9,4,3.025,3.642857143,78.00816177,65.00717616,70.29859637,27.4,26.65,26.67142857,17.03333333,10.275,12.07142857,148.2233333,78.575,-46.35,-6.744285714,-62.101857,-103.0552937,-42.90473614,25.596119,-43.4580185,46.76217021,-20.47132229,-41.33080193,-44.28886171,6.984332036,-8.942660336,-65.47583507,-10.21773358,26.57975391,62.34848064,-73.657068,-33.997312,35.52452629,-0.268689766,3.666666667,2.25,2,1.5428971,1.4805149,0.701481943
6/2/2013,30,32.56666667,33.51428571,32.93553477,35.78889658,35.62460906,36.32461574,36.25794316,3.59389387,-1.28020269,-1.332024291,7.087777933,4.890061025,4.473321843,10488.176,10467.3405,10437.10107,-1.178322671,-0.604611156,-0.800994157,3.599983367,2.89928235,4.053221329,0.772134109,-0.389591543,-1.431019815,2.867524367,2.671968675,2.149137707,5678.282867,5680.19835,5642.491486,-0.581035653,-0.306792014,-0.686086172,1.976079633,1.572878575,2.103605459,-0.371426871,0.492479497,-0.433628284,-0.745219073,0.36534939,0.285253555,1502.107767,1491.551925,1474.158557,-0.017391697,-0.019005954,-0.519222322,0.336395807,0.373551323,0.170809678,9.066666667,0.075,6.9,3.6,3.1,3.785714286,71.28140753,72.29529023,66.90946634,27.93333333,26.95,25.95714286,14.76666667,12.95,11.11428571,173.01,91.55,-38.46714286,-5.277142857,-62.47532486,-102.6666387,-43.34865729,24.66432993,-43.41677993,48.18494307,-19.77810014,-41.72458364,-45.30305721,6.822135536,-9.86294155,-65.19693864,-11.43503062,28.94535879,63.45957857,-74.28438986,-34.67215829,36.17992907,-0.246935749,4.333333333,2.5,2.142857143,1.214167967,1.353310075,0.887902486
6/3/2013,33.3,32.4,32.86785714,33.06869803,36.37873323,35.76690021,37.2056191,36.40238412,2.444368372,0.732009162,-1.795862477,6.0891564,5.4394903,4.619461543,10492.023,10478.55475,10441.76079,-0.765536556,-0.685010857,-0.831717227,3.5905201,3.3215239,3.497088343,0.520539848,0.261083268,-1.680135314,1.9588348,3.03450775,2.37918735,5686.5778,5683.389875,5647.821914,-0.354609939,-0.335557387,-0.696428974,2.127277933,1.740381625,1.76774993,-0.699475421,0.930464979,-0.707608856,-0.73725632,0.142275482,0.386427231,1524.208733,1486.918475,1478.142857,0.119376293,-0.049779191,-0.441699983,0.678602377,0.277454705,0.071219344,0,6.875,0.042857143,3,3.85,3.5,64.48104996,75.44439251,64.52054894,27.76666667,28.325,25.4,12.56666667,15,9.8,164.1833333,108.0725,-22.33714286,-2.942857143,-62.86352871,-102.2728622,-43.82056964,23.63749421,-43.353354,49.51175771,-19.314709,-42.15418314,-46.14410693,6.428294415,-10.85654564,-65.1593195,-12.69927512,30.46974879,63.86148357,-75.13290843,-35.33125714,36.79368507,-0.23220202,4.666666667,3,1.285714286,0.993895337,1.21402255,1.021172086
6/4/2013,33.9,33.7,33.08571429,33.20528156,35.31031761,35.80904049,35.83425894,36.42228101,2.305557745,1.618553591,-2.006867023,4.742047733,6.1842409,4.955904157,10526.45367,10491.34325,10443.77707,-0.099630494,-0.960804677,-0.803854592,3.9593654,3.547659275,3.068534429,0.661519391,0.666941681,-1.562549081,1.682480767,3.06190895,2.820818484,5708.626133,5684.847275,5654.101829,-0.039636646,-0.468416322,-0.655133609,2.3914885,1.844642125,1.53912773,-0.320999573,0.745836002,-0.85470784,-0.21171528,-0.19637529,0.406702113,1539.211433,1487.251575,1486.071886,0.110469635,-0.076494268,-0.335145539,1.048966233,0.190944438,0.074204129,0,6.875,0.042857143,2.933333333,4.325,3.657142857,65.56476709,77.61402387,60.59048561,28.5,27.775,25.62857143,11.26666667,16.95,8.7,124.2666667,131.93,-0.148571429,0.547142857,-63.27929229,-101.8573068,-44.27238593,22.62578279,-43.30320414,50.79660436,-19.1062985,-42.64506921,-46.94944157,6.045853736,-11.81662793,-65.29380964,-14.08579669,31.826396,64.2905805,-76.32641279,-35.99710114,37.35832521,-0.228833465,5,3.5,1.428571429,0.921826237,0.99982135,1.1302305
6/5/2013,33.9,33.9,33.21785714,33.32940287,35.60291718,35.95105207,36.16464947,36.56850613,3.003948709,2.627099548,-1.931574652,4.376698467,6.78004135,5.246577771,10566.61,10495.01425,10446.37907,0.452775787,-1.12521532,-0.788845154,4.4520718,3.56653665,2.829687657,1.407626507,0.723062383,-1.269745416,1.937288567,2.991649425,3.055685966,5720.979133,5684.566775,5657.544886,0.169101154,-0.541743485,-0.595819233,2.611378367,1.917467525,1.410038644,0.535722261,0.155755283,-0.754318013,0.503058,-0.418044005,0.411720648,1532.0374,1496.7421,1492.7193,-0.055237728,-0.024666759,-0.243002603,1.158271933,0.289178798,0.106553175,0.266666667,6.875,0.042857143,4.066666667,3.675,4.057142857,70.73804245,74.66891063,60.34999441,29.43333333,27.35,25.55714286,14.06666667,15.825,8.514285714,76.11,157.035,26.34142857,3.875714286,-63.67458543,-101.4531118,-44.74007071,21.52762721,-43.27568807,51.94958057,-18.86075186,-43.35912357,-47.70851729,5.725368572,-12.84438943,-65.36771264,-15.44132444,33.03489171,64.8032725,-77.46056086,-36.65391586,37.80259314,-0.262755698,5,4,1.714285714,0.946319257,0.7478266,1.163566143
6/6/2013,33.9,32.6,33.82142857,33.45680272,36.22397541,36.1188961,36.78982621,36.74587562,2.589685746,3.256627427,-1.708486145,4.951889567,6.43998545,5.869679129,10583.43067,10494.113,10448.08479,0.496864391,-0.851365359,-0.856158674,4.665327333,3.651093025,2.755695814,1.01179933,0.660434933,-1.08523263,2.4188003,2.436599425,3.415816057,5718.914167,5684.86475,5658.920957,0.157596318,-0.413968326,-0.578216154,2.590916533,2.081697725,1.371383187,1.116449529,-0.378611405,-0.448268468,1.30026904,-0.631281585,0.470537888,1503.836333,1512.765125,1491.321486,-0.184659393,0.047726704,-0.206779249,0.988082,0.53871368,0.146293496,0.266666667,6.8,0.042857143,5.433333333,3.15,3.442857143,74.89923357,68.67151306,62.39722662,31.1,28.175,25.95714286,18.33333333,13.425,9.942857143,42.27666667,160.9975,56.92714286,6.363571429,-63.94572114,-101.0456261,-45.21507529,20.43212493,-43.24027736,52.55725479,-18.56309329,-44.39399879,-48.203293,5.511246129,-13.8883595,-65.47578657,-16.84271646,33.76801007,65.34678236,-78.19774971,-37.32175121,37.83472157,-0.328588331,5,4.5,2,0.816336407,0.531931127,1.162511171
6/7/2013,30,32.23333333,33.71428571,33.6125,35.84450339,36.23519087,36.34621489,36.85289027,2.0019095,2.355442814,-0.759430457,5.229180433,5.46056815,5.6504695,10588.71033,10516.014,10458.11271,0.431126031,-0.41906649,-0.875392326,4.472182533,3.886049425,2.823067614,0.335097527,0.75478278,-0.780345005,2.266103,1.926515425,3.255624386,5717.898167,5699.53735,5663.892186,0.188189724,-0.203585214,-0.534270042,2.3779132,2.284116575,1.42462903,1.202663942,-0.418871909,0.058328349,1.5578872,-0.455281535,0.43299924,1478.322433,1529.1431,1486.826529,-0.078750137,0.05667561,-0.14918401,0.719182347,0.835002083,0.176494032,0.266666667,0,3.928571429,5.766666667,3.325,3.157142857,75.38815874,66.16111607,67.43902614,32.6,28.175,27.21428571,22.03333333,12.475,11.42857143,23.94666667,139.23,85.99142857,8.434285714,-64.42256593,-100.5513579,-45.65781886,19.13220593,-43.19952879,52.82307329,-18.22966893,-45.33299007,-48.68202364,5.458560325,-14.82975243,-65.58546343,-18.2553315,34.22100764,65.95627157,-78.989039,-37.9660455,37.42383957,-0.390008448,5,4.75,2.428571429,0.582446943,0.388239827,1.088302814
6/8/2013,32.8,31.5,33.64642857,33.7255102,36.4450468,36.33734219,37.10418082,36.95248409,0.778640857,2.898756281,0.072503765,4.646495,4.8212068,5.630395343,10602.72967,10544.82,10468.15243,0.494473341,0.077396399,-0.882558037,4.273368367,4.16431305,2.992236743,-0.384982596,1.106147178,-0.274677724,1.64875618,1.971481525,2.950095943,5729.677333,5711.44735,5672.224043,0.318553518,0.012917727,-0.48566121,2.201276667,2.463854025,1.568242864,1.135427544,0.155348611,0.08365819,1.3513243,0.193213615,0.105790726,1471.478467,1531.265775,1489.630214,0.057769713,0.013510063,-0.081186263,0.557265767,1.0429615,0.252270719,0,0.2,3.928571429,5.733333333,3.725,3.442857143,71.78283441,69.21632114,70.57902713,33.9,28.875,26.97142857,22.4,13.6,13.17142857,4.723333333,102.95,108.4242857,11.71285714,-65.18200164,-100.2439829,-45.63046443,17.7820425,-43.1195975,52.7290625,-17.65906536,-46.33081971,-49.08744457,5.339621571,-15.84794536,-65.5011895,-19.49751314,34.38385264,66.649643,-78.85991043,-38.36098193,36.22342664,-0.431699062,5.333333333,5,2.857142857,0.35525905,0.300393217,0.907298714
6/9/2013,31.7,33.16666667,33.65,33.83265306,36.50041238,36.45835275,37.17174502,37.07676079,0.84804617,2.503471334,0.808695836,3.820243233,4.838069175,5.8319397,10615.78767,10565.554,10476.27,0.55903324,0.405024938,-0.85048752,4.127488633,4.450101,3.199582786,0.137726168,0.840183849,0.108290879,1.37427578,2.100056375,2.755778257,5743.4165,5715.338225,5679.377429,0.313999637,0.140005652,-0.424325002,2.058563967,2.5428254,1.745679029,1.440702476,0.737295895,0.122233911,1.2051846,0.9028345,-0.110608523,1474.3188,1514.06155,1496.075857,-0.055291867,-0.077724068,-0.01831413,0.396528567,1.027478325,0.35762753,0,0.2,3.928571429,5.833333333,4.525,3.314285714,71.24238981,71.38488259,71.86076907,33.7,30.55,27.37142857,22.6,16.1,13.72857143,-17.39333333,62.9475,126.4614286,15.42,-65.83151721,-99.91224071,-45.48060136,16.47524064,-43.02707679,52.43820371,-16.97224564,-46.84721721,-49.44419014,4.780777985,-16.72947193,-65.46813093,-20.22785121,34.14779114,66.80382429,-78.85579293,-38.53703179,34.96404114,-0.465384604,6.333333333,5,3.285714286,0.331418253,0.233557457,0.693726329
6/10/2013,35,33.53333333,34.07142857,33.89489796,36.49530733,36.57310517,37.06618225,37.20387984,0.822019177,2.023598661,1.465877395,3.940152767,4.815586175,5.717918629,10617.42633,10588.5295,10484.32686,0.647693232,0.478430451,-0.719521871,4.0135952,4.54729625,3.436807986,0.522708764,0.615701039,0.372278945,1.685291147,2.156966575,2.573505057,5742.4234,5723.027625,5684.756129,0.225493657,0.203514534,-0.343722767,1.936310967,2.472093025,1.906194329,1.779053378,1.007732613,0.231919093,1.173333633,1.266076105,-0.234666719,1471.811167,1494.728375,1502.900014,-0.297868332,-0.091919213,0.022716016,0.18210036,0.86543706,0.449375136,0,0.2,3.928571429,6.1,5.4,3.485714286,71.56241165,74.34144765,70.74581713,33.5,31.8,28.08571429,22.23333333,19.575,13.95714286,-33.57,34.0525,132.12,17.98142857,-66.46475693,-99.6151,-45.16327386,15.33061329,-42.91339957,51.98885657,-16.21732207,-46.622327,-49.27482536,3.86879675,-17.56872393,-65.43905807,-19.47935418,33.87135629,66.305369,-78.96494536,-38.38049486,34.43712614,-0.477151301,7.333333333,5,3.714285714,0.425857433,0.079653532,0.519730901
